HR;Positive;Negative;Anger;Anticipation;Disgust;Fear;Joy;Sadness;Surprise;Trust
pandur;0;0;0;0;0;1;0;0;0;1
kopirati;0;1;0;0;0;0;0;0;0;0
kopija;0;1;0;0;0;0;0;0;0;0
oponašatelj;0;1;1;0;1;0;0;0;0;0
imitator;0;1;1;0;1;0;0;0;0;0
srž;1;0;0;0;0;0;0;0;0;0
jezgra;1;0;0;0;0;0;0;0;0;0
srce;1;0;0;0;0;0;0;0;0;0
klju?an;1;0;0;0;0;0;0;0;0;0
središte;1;0;0;0;0;0;0;0;0;0
krunidba;1;0;0;0;0;0;1;0;0;1
krunjenje;1;0;0;0;0;0;1;0;0;1
koronacija;1;0;0;0;0;0;1;0;0;1
mrtvozornik;0;1;0;0;0;0;0;0;0;0
tjelesan;0;1;0;0;0;0;0;0;0;0
materijalan;0;1;0;0;0;0;0;0;0;0
fizi?ki;0;1;0;0;0;0;0;0;0;0
korporacija;1;0;0;0;0;0;0;0;0;1
tjelesan;1;0;0;0;0;0;0;0;0;0
materijalan;1;0;0;0;0;0;0;0;0;0
fizi?ki;1;0;0;0;0;0;0;0;0;0
leš;0;1;0;0;1;0;0;1;0;0
truplo;0;1;0;0;1;0;0;1;0;0
lešina;0;1;0;0;1;0;0;1;0;0
ukor;0;1;0;0;0;0;0;0;0;0
kažnjavanje;0;1;0;0;0;0;0;0;0;0
popravni;1;0;0;0;0;0;0;0;0;0
ispravnost;0;0;0;0;0;0;0;0;0;1
korektnost;0;0;0;0;0;0;0;0;0;1
podudarnost;1;0;0;1;0;0;0;0;0;0
podudaranje;1;0;0;1;0;0;0;0;0;0
slaganje;1;0;0;1;0;0;0;0;0;0
suglasnost;1;0;0;1;0;0;0;0;0;0
potvrditi;1;0;0;0;0;0;0;0;0;1
potkrijepiti;1;0;0;0;0;0;0;0;0;1
poduprijeti;1;0;0;0;0;0;0;0;0;1
potvrda;0;0;0;0;0;0;0;0;0;1
podupiranje;0;0;0;0;0;0;0;0;0;1
korozija;0;1;0;0;0;0;0;0;0;0
nagrizanje;0;1;0;0;0;0;0;0;0;0
nagrizaju?i;0;1;0;0;0;1;0;0;0;0
korozivan;0;1;0;0;0;1;0;0;0;0
korumpiran;0;1;0;0;0;0;0;0;0;0
pokvaren;0;1;0;0;0;0;0;0;0;0
podmitljiv;0;1;0;0;0;0;0;0;0;0
iskvaren;0;1;0;0;0;0;0;0;0;0
razvratan;0;1;0;0;0;0;0;0;0;0
kvariti;0;1;0;0;0;0;0;0;0;0
pokvariti;0;1;0;0;0;0;0;0;0;0
podmititi;0;1;0;0;0;0;0;0;0;0
korumpiran;0;1;1;0;1;1;0;1;0;0
korupcija;0;1;0;0;1;0;0;0;0;0
kvarenje;0;1;0;0;1;0;0;0;0;0
truplo;0;0;0;0;0;0;0;1;0;0
kozmopolitski;1;0;0;0;0;0;0;0;0;1
svjetski;1;0;0;0;0;0;0;0;0;1
udoban;1;0;0;0;0;0;0;0;0;0
ugodan;1;0;0;0;0;0;0;0;0;0
kau?;0;0;0;0;0;0;0;1;0;0
sofa;0;0;0;0;0;0;0;1;0;0
kašalj;0;1;0;0;1;0;0;0;0;0
kašljati;0;1;0;0;1;0;0;0;0;0
vije?e;1;0;0;1;0;0;0;0;0;1
odbor;1;0;0;1;0;0;0;0;0;1
koncil;1;0;0;1;0;0;0;0;0;1
savjet;1;0;0;0;0;0;0;0;0;1
savjetovati;1;0;0;0;0;0;0;0;0;1
savjetnik;0;1;1;0;0;1;0;0;0;1
savjetnik;1;0;0;0;0;0;0;0;0;1
ra?unati;1;0;0;0;0;0;0;0;0;1
odbrojavanje;0;0;0;1;0;0;0;0;0;0
grofica;1;0;0;0;0;0;0;0;0;0
zemljak;0;0;0;0;0;0;0;0;0;1
seljak;0;0;0;0;0;0;0;0;0;1
okrug;0;0;0;0;0;0;0;0;0;1
županija;0;0;0;0;0;0;0;0;0;1
državni udar;0;0;1;0;0;0;0;0;1;0
hrabrost;1;0;0;0;0;0;0;0;0;0
odvažnost;1;0;0;0;0;0;0;0;0;0
hrabar;1;0;0;0;0;1;0;0;0;0
odvažan;1;0;0;0;0;1;0;0;0;0
kurir;0;0;0;0;0;0;0;0;0;1
dostavlja?;0;0;0;0;0;0;0;0;0;1
glasnik;0;0;0;0;0;0;0;0;0;1
tekli?;0;0;0;0;0;0;0;0;0;1
progon;0;1;0;0;0;0;0;0;0;0
sud;0;0;1;1;0;1;0;0;0;0
uljudan;1;0;0;0;0;0;0;0;0;0
ljubazan;1;0;0;0;0;0;0;0;0;0
pristojan;1;0;0;0;0;0;0;0;0;0
ugla?en;1;0;0;0;0;0;0;0;0;0
uljudnost;1;0;0;0;0;0;0;0;0;0
ljubaznost;1;0;0;0;0;0;0;0;0;0
pristojnost;1;0;0;0;0;0;0;0;0;0
udvaranje;1;0;0;1;0;0;1;0;0;1
uvala;1;0;0;1;1;1;1;0;0;0
zaljev;1;0;0;1;1;1;1;0;0;0
savez;1;0;0;0;0;0;0;0;0;1
pokriti;0;0;0;0;0;0;0;0;0;1
pokriva?;0;0;0;0;0;0;0;0;0;1
?eznuti;0;1;0;0;0;0;0;0;0;0
kukavica;0;1;0;0;1;1;0;1;0;0
plašljivac;0;1;0;0;1;1;0;1;0;0
strašljivac;0;1;0;0;1;1;0;1;0;0
kukavi?luk;0;1;0;0;0;1;0;0;0;0
plašljivost;0;1;0;0;0;1;0;0;0;0
strašljivost;0;1;0;0;0;1;0;0;0;0
kukavi?ki;0;1;0;0;0;1;0;0;0;0
stidljiv;0;0;0;0;0;1;0;0;0;0
sramežljiv;0;0;0;0;0;1;0;0;0;0
kojot;0;0;0;0;0;1;0;0;0;0
mrzovoljan;0;1;1;0;0;0;0;0;0;0
razdražljiv;0;1;1;0;0;0;0;0;0;0
pukotina;0;1;0;0;0;0;0;0;0;0
napuknuti;0;1;0;0;0;0;0;0;0;0
slomiti;0;1;0;0;0;0;0;0;0;0
krek;0;1;0;0;0;0;0;0;0;0
napuknut;0;1;1;0;0;1;0;0;0;0
pucanje;0;1;0;0;0;0;0;0;0;0
kolijevka;1;0;0;1;0;0;1;0;0;1
maziti;1;0;0;1;0;0;1;0;0;1
;1;0;0;1;0;0;1;0;0;1
obrt;1;0;0;0;0;0;0;0;0;0
zanat;1;0;0;0;0;0;0;0;0;0
vještina;1;0;0;0;0;0;0;0;0;0
zanatlija;1;0;0;0;0;0;0;0;0;0
obrtnik;1;0;0;0;0;0;0;0;0;0
gr?;0;1;0;1;0;0;0;0;0;0
zgr?iti se;0;1;0;1;0;0;0;0;0;0
tijesan;0;1;0;0;0;0;0;0;0;0
?udak;0;1;0;0;0;0;0;0;0;0
lu?ak;0;1;0;0;0;0;0;0;0;0
?udakinja;0;1;0;0;0;0;0;0;0;0
lu?akinja;0;1;0;0;0;0;0;0;0;0
mrzovoljan;0;1;1;0;0;0;0;0;0;0
razdražljiv;0;1;1;0;0;0;0;0;0;0
sranje;0;1;0;0;1;0;0;0;0;0
govno;0;1;0;0;1;0;0;0;0;0
srati;0;1;0;0;1;0;0;0;0;0
kocke;0;0;0;1;0;0;0;0;0;0
sudar;0;1;0;0;0;1;0;1;1;0
slom;0;1;0;0;0;1;0;1;1;0
sudariti se;0;1;0;0;0;1;0;1;1;0
nesre?a;0;1;0;0;0;1;0;1;1;0
žudjeti;0;0;0;1;0;0;0;0;0;0
?eznuti;0;0;0;1;0;0;0;0;0;0
žudnja;0;0;0;1;0;0;0;0;0;0
puzati;0;1;0;0;1;0;0;0;0;0
gmizati;0;1;0;0;1;0;0;0;0;0
zalu?en;0;1;1;0;0;1;0;0;0;0
mahnit;0;1;1;0;0;1;0;0;0;0
lud;0;1;1;0;0;1;0;0;0;0
lud;0;1;1;0;0;1;0;1;0;0
škripa;0;1;0;0;0;0;0;0;0;0
krema;1;0;0;1;0;0;1;0;1;0
vrhnje;1;0;0;1;0;0;1;0;1;0
stvoriti;1;0;0;0;0;0;1;0;0;0
napraviti;1;0;0;0;0;0;1;0;0;0
kreativan;1;0;0;0;0;0;0;0;0;0
stvorenje;0;1;0;0;1;1;0;0;0;0
stvor;0;1;0;0;1;1;0;0;0;0
kreatura;0;1;0;0;1;1;0;0;0;0
vjera;1;0;0;0;0;0;0;0;0;1
povjerenje;1;0;0;0;0;0;0;0;0;1
uvjerenje;1;0;0;0;0;0;0;0;0;1
vjerodostojnost;1;0;0;0;0;0;0;0;0;1
uvjerljivost;1;0;0;0;0;0;0;0;0;1
vjerodostojan;1;0;0;0;0;0;0;0;0;1
uvjerljiv;1;0;0;0;0;0;0;0;0;1
povjerenje;1;0;0;0;0;0;0;0;0;1
pošten;1;0;0;0;0;0;0;0;0;1
zaslužan;1;0;0;0;0;0;0;0;0;0
gmizati;0;1;0;0;0;0;0;0;0;0
ljigavac;0;1;0;0;0;0;0;0;0;0
?udak;0;1;0;0;0;0;0;0;0;0
šuljanje;0;0;0;1;0;0;0;0;0;0
kremiranje;0;0;0;0;0;0;0;1;0;0
kremacija;0;0;0;0;0;0;0;1;0;0
krešendo;1;0;0;1;0;0;1;0;1;1
vrhunac;1;0;0;1;0;0;1;0;1;1
posada;0;0;0;0;0;0;0;0;0;1
društvo;0;0;0;0;0;0;0;0;0;1
osoblje;0;0;0;0;0;0;0;0;0;1
kriminal;0;1;1;0;0;0;0;0;0;0
zlo?in;0;1;1;0;0;0;0;0;0;0
nedjelo;0;1;1;0;0;0;0;0;0;0
kriminalac;0;1;1;0;1;1;0;0;0;0
zlo?inac;0;1;1;0;1;1;0;0;0;0
zlo?ina?ki;0;1;1;0;1;1;0;0;0;0
kriminalan;0;1;1;0;1;1;0;0;0;0
kaznen;0;1;1;0;1;1;0;0;0;0
kriminalitet;0;1;1;0;1;1;0;0;0;0
zgražanje;0;1;0;0;1;1;0;1;0;0
zgražati se;0;1;0;0;1;1;0;1;0;0
bogalj;0;1;0;0;0;1;0;1;0;0
osakatiti;0;1;0;0;0;1;0;1;0;0
osaka?en;0;1;0;0;0;0;0;1;0;0
kriza;0;1;0;0;0;0;0;0;0;0
hrskav;0;1;0;0;0;0;0;0;0;1
kriti?ar;0;1;0;0;0;0;0;0;0;0
kritika;0;1;1;0;0;0;0;1;0;0
osuda;0;1;1;0;0;0;0;1;0;0
kritizirati;0;1;1;0;1;1;0;1;0;0
prigovarati;0;1;1;0;1;1;0;1;0;0
prigovoriti;0;1;1;0;1;1;0;1;0;0
osu?ivati;0;1;1;0;1;1;0;1;0;0
recenzija;1;0;0;0;0;0;0;0;0;0
životinja;0;0;0;0;1;0;0;0;0;0
životinjica;0;0;0;0;1;0;0;0;0;0
krokodil;0;0;0;0;0;1;0;0;0;0
lopov;0;1;0;0;0;0;0;0;0;0
varalica;0;1;0;0;0;0;0;0;0;0
kriminalac;0;1;0;0;0;0;0;0;0;0
zlo?inac;0;1;0;0;0;0;0;0;0;0
hulja;0;1;0;0;0;0;0;0;0;0
križ;0;1;1;0;0;1;0;1;0;0
ljut;0;1;1;0;0;1;0;1;0;0
naljutiti;0;1;1;0;0;1;0;1;0;0
ljutit;0;1;1;0;0;1;0;1;0;0
srdit;0;1;1;0;0;1;0;1;0;0
?u?anje;0;0;0;0;0;1;0;0;0;0
?u?nuti;0;0;0;0;0;1;0;0;0;0
sagnuti se;0;0;0;0;0;1;0;0;0;0
pognut;0;1;0;0;0;1;0;0;0;0
krunidba;1;0;0;1;0;0;1;0;1;1
presudan;1;0;0;0;0;0;0;0;0;1
klju?an;1;0;0;0;0;0;0;0;0;1
odlu?uju?i;1;0;0;0;0;0;0;0;0;1
križni;0;1;0;0;0;0;0;0;0;0
raspe?e;0;1;1;0;1;1;0;1;0;0
razapinjanje;0;1;1;0;1;1;0;1;0;0
sirov;0;1;0;0;1;0;0;0;0;0
grub;0;1;0;0;1;0;0;0;0;0
primitivan;0;1;0;0;1;0;0;0;0;0
okrutan;0;1;1;0;1;1;0;1;0;0
surov;0;1;1;0;1;1;0;1;0;0
nemilosrdan;0;1;1;0;1;1;0;1;0;0
okrutno;0;1;1;0;0;1;0;0;0;0
krvni?ki;0;1;1;0;0;1;0;0;0;0
okrutnost;0;1;1;0;1;1;0;1;0;0
surovost;0;1;1;0;1;1;0;1;0;0
ruševan;0;1;0;0;0;0;0;1;0;0
drobljenje;0;1;0;0;0;0;0;1;0;0
zdrobiti;0;1;1;0;0;0;0;0;0;0
drobiti;0;1;1;0;0;0;0;0;0;0
zgnje?iti;0;1;1;0;0;0;0;0;0;0
križarski rat;0;1;1;0;0;1;0;0;0;0
zgnje?en;0;1;1;0;1;1;0;1;0;0
zdrobljen;0;1;1;0;1;1;0;1;0;0
uništen;0;1;1;0;1;1;0;1;0;0
slomljen;0;1;1;0;1;1;0;1;0;0
poražavaju?i;0;1;1;0;1;1;0;0;0;0
represivni;0;1;1;0;1;1;0;0;0;0
krastav;0;1;0;0;1;0;0;0;0;0
?angrizav;0;1;0;0;1;0;0;0;0;0
okorio;0;1;0;0;1;0;0;0;0;0
plakati;0;1;0;0;0;0;0;1;0;0
pla?;0;1;0;0;0;0;0;1;0;0
kripta;0;1;0;0;0;1;0;1;0;0
grobnica;0;1;0;0;0;1;0;1;0;0
kristal;1;0;0;0;0;0;0;0;0;0
kristalan;1;0;0;0;0;0;0;0;0;0
kocka;0;0;0;0;0;0;0;0;0;1
rogonja;0;1;0;0;1;0;0;0;0;0
kukavica;0;1;0;0;0;0;0;0;0;0
maziti se;1;0;0;0;0;0;1;0;0;1
milovati;1;0;0;0;0;0;1;0;0;1
signal;0;0;0;1;0;0;0;0;0;0
kulinarski;1;0;0;0;0;0;0;0;0;1
usmr?ivanje;0;1;0;0;0;0;0;0;0;0
kulminacija;1;0;0;0;0;0;0;0;0;0
vrhunac;1;0;0;0;0;0;0;0;0;0
krivnja;0;1;0;0;0;0;0;0;0;0
krivica;0;1;0;0;0;0;0;0;0;0
kriv;0;1;0;0;0;0;0;0;0;0
krivac;0;1;0;0;0;0;0;0;0;0
kult;0;1;0;0;0;1;0;0;0;0
obra?ivati;1;0;0;1;0;0;0;0;0;1
uzgajati;1;0;0;1;0;0;0;0;0;1
njegovati;1;0;0;1;0;0;0;0;0;1
gajiti;1;0;0;1;0;0;0;0;0;1
kultivirati;1;0;0;1;0;0;0;0;0;1
obradiv;1;0;0;0;0;0;0;0;0;0
obra?en;1;0;0;0;0;0;0;0;0;0
uzgoj;1;0;0;0;0;0;0;0;0;0
kultivacija;1;0;0;0;0;0;0;0;0;0
kultura;1;0;0;0;0;0;0;0;0;0
nezgrapan;0;1;0;0;0;0;0;1;0;0
težak;0;1;0;0;0;0;0;1;0;0
lukav;1;1;0;0;0;0;0;0;0;0
prepreden;1;1;0;0;0;0;0;0;0;0
podmukao;1;1;0;0;0;0;0;0;0;0
podmuklost;1;1;0;0;0;0;0;0;0;0
prepredenost;1;1;0;0;0;0;0;0;0;0
vješt;1;1;0;0;0;0;0;0;0;0
snalažljiv;1;1;0;0;0;0;0;0;0;0
isisavanje;0;1;0;0;1;1;0;1;0;0
pseto;0;1;1;0;1;1;0;0;0;0
džukela;0;1;1;0;1;1;0;0;0;0
izlje?iv;1;0;0;0;0;0;0;0;0;1
znatiželja;1;0;0;1;0;0;0;0;1;0
radoznalost;1;0;0;1;0;0;0;0;1;0
kovr?a;1;0;0;0;0;0;0;0;0;0
uvojak;1;0;0;0;0;0;0;0;0;0
kletva;0;1;1;0;1;1;0;1;0;0
prokletstvo;0;1;1;0;1;1;0;1;0;0
psovati;0;1;1;0;1;1;0;1;0;0
proklinjati;0;1;1;0;1;1;0;1;0;0
ukleti;0;1;1;0;1;1;0;1;0;0
kleti;0;1;1;0;1;1;0;1;0;0
psovka;0;1;1;0;1;1;0;1;0;0
prokleti;0;1;1;0;1;1;0;1;0;0
proklet;0;1;1;0;0;1;0;1;0;0
uklet;0;1;1;0;0;1;0;1;0;0
psuju?i;0;1;1;0;1;0;0;0;0;0
površan;0;1;0;0;0;0;0;0;0;0
jastuk;1;0;0;0;0;0;0;0;0;0
ublažiti;1;0;0;0;0;0;0;0;0;0
proklet;0;0;1;0;0;0;0;0;0;0
staratelj;0;0;0;0;0;0;0;0;0;1
?uvar;0;0;0;0;0;0;0;0;0;1
kustos;0;0;0;0;0;0;0;0;0;1
starateljstvo;0;0;0;0;0;0;0;0;0;1
skrb;0;0;0;0;0;0;0;0;0;1
kupac;1;0;0;0;0;0;0;0;0;0
klijent;1;0;0;0;0;0;0;0;0;0
mušterija;1;0;0;0;0;0;0;0;0;0
stranka;1;0;0;0;0;0;0;0;0;0
sladak;1;0;0;0;0;0;0;0;0;0
ljubak;1;0;0;0;0;0;0;0;0;0
dražestan;1;0;0;0;0;0;0;0;0;0
reza?;0;1;0;0;0;1;0;0;0;0
reza?i;1;0;0;0;0;0;0;0;0;0
nemilosrdan;0;1;1;0;0;1;0;0;0;0
kolja?;0;1;1;0;0;1;0;0;0;0
bespoštedan;0;1;1;0;0;1;0;0;0;0
rezak;0;1;1;0;1;1;0;1;0;0
oštar;0;1;1;0;1;1;0;1;0;0
cijanid;0;1;0;0;0;1;0;0;0;0
ciklon;0;1;0;0;0;1;0;0;1;0
cista;0;1;0;0;0;1;0;1;0;0
cisti?an;0;0;0;0;1;0;0;0;0;0
citomegalovirus;0;1;0;0;0;0;0;1;0;0
poigravanje;0;1;1;0;1;0;0;0;0;0
demon;0;1;1;0;1;1;0;1;1;0
glup;0;1;0;0;1;0;0;0;0;0
bedast;0;1;0;0;1;0;0;0;0;0
bodež;0;1;0;0;0;1;0;0;0;0
dnevno;0;0;0;1;0;0;0;0;0;0
šteta;0;1;1;0;1;0;0;1;0;0
oštetiti;0;1;1;0;1;0;0;1;0;0
štetiti;0;1;1;0;1;0;0;1;0;0
odšteta;0;1;0;0;0;0;0;1;0;0
dama;1;0;1;0;1;0;0;0;0;1
proklet;0;1;1;0;1;0;0;0;0;0
proklinjati;0;1;1;0;1;0;0;0;0;0
prokletstvo;0;1;1;0;0;1;0;1;0;0
proklet;0;1;0;0;0;0;0;0;0;0
prigušiva?;0;1;0;0;0;0;0;0;0;0
ples;1;0;0;0;0;0;1;0;0;1
plesati;1;0;0;0;0;0;1;0;0;1
prhut;0;1;0;0;0;0;0;0;0;0
perut;0;1;0;0;0;0;0;0;0;0
kicoš;0;1;0;0;1;0;0;0;0;0
šminker;0;1;0;0;1;0;0;0;0;0
opasnost;0;1;0;0;0;1;0;1;0;0
opasno;0;1;0;0;0;1;0;0;0;0
vlažan;0;0;0;0;1;0;0;0;0;0
usuditi se;0;0;0;1;0;0;0;0;0;1
izazvati;0;0;0;1;0;0;0;0;0;1
izazov;0;0;0;1;0;0;0;0;0;1
smion;1;0;0;0;0;0;0;0;0;0
odvažan;1;0;0;0;0;0;0;0;0;0
hrabar;1;0;0;0;0;0;0;0;0;0
taman;0;0;0;0;0;0;0;1;0;0
smrknuti se;0;1;0;0;0;1;0;1;0;0
zamra?iti;0;1;0;0;0;1;0;1;0;0
zatamniti;0;1;0;0;0;1;0;1;0;0
zamra?en;0;1;0;0;0;1;0;1;0;0
tama;0;1;1;0;0;1;0;1;0;0
dragi;1;0;0;0;0;0;1;0;0;1
miljenik;1;0;0;0;0;0;1;0;0;1
dragan;1;0;0;0;0;0;1;0;0;1
strelica;0;0;0;0;0;1;0;0;0;0
pojuriti;0;0;0;0;0;1;0;0;0;0
odba?en;0;1;1;0;0;1;0;1;0;0
uništen;0;1;1;0;0;1;0;1;0;0
poletan;1;0;0;0;0;0;0;0;0;0
kukavi?ki;0;1;1;0;1;1;0;0;0;0
podao;0;1;1;0;1;1;0;0;0;0
k?i;1;0;0;0;0;0;1;0;0;0
zora;1;0;0;1;0;0;1;0;1;1
svitanje;1;0;0;1;0;0;1;0;1;1
svanuti;1;0;0;1;0;0;1;0;1;1
sinuti;1;0;0;1;0;0;1;0;1;1
ošamu?en;0;1;0;0;0;0;0;0;0;0
?akon;0;0;0;0;0;0;0;0;0;1
deaktivirati;0;1;0;0;0;0;0;0;0;0
zastoj;0;1;0;0;0;0;0;0;0;0
mrtva to?ka;0;1;0;0;0;0;0;0;0;0
ubojit;0;1;1;0;1;1;0;1;0;0
smrtonosan;0;1;1;0;1;1;0;1;0;0
gluh;0;1;0;0;0;0;0;0;0;0
dogovor;1;0;0;1;0;0;1;0;1;1
posao;1;0;0;1;0;0;1;0;1;1
poslovanje;0;0;0;0;0;0;0;0;0;1
drag;1;0;0;0;0;0;0;0;0;0
mio;1;0;0;0;0;0;0;0;0;0
smrt;0;1;1;1;1;1;0;1;1;0
pogibija;0;1;1;1;1;1;0;1;1;0
debakl;0;1;0;0;0;1;0;1;0;0
rasulo;0;1;0;0;0;1;0;1;0;0
debata;1;0;0;0;0;0;0;0;0;0
rasprava;1;0;0;0;0;0;0;0;0;0
raspravljati;1;0;0;0;0;0;0;0;0;0
debatirati;1;0;0;0;0;0;0;0;0;0
diskutirati;1;0;0;0;0;0;0;0;0;0
diskusija;1;0;0;0;0;0;0;0;0;0
raspravljanje;1;0;0;0;0;0;0;0;0;0
razvrat;0;1;0;0;1;1;0;0;0;0
razuzdanost;0;1;0;0;1;1;0;0;0;0
zadužnica;0;0;0;1;0;0;0;0;0;0
krhotine;0;1;0;0;1;0;0;0;0;0
dug;0;1;0;0;0;0;0;1;0;0
dugovanje;0;1;0;0;0;0;0;1;0;0
zaduženost;0;1;0;0;0;0;0;1;0;0
dužnik;0;1;0;0;0;0;0;0;0;0
raspad;0;1;0;0;0;1;0;1;0;0
raspadanje;0;1;0;0;0;1;0;1;0;0
propadanje;0;1;0;0;0;1;0;1;0;0
truljenje;0;1;0;0;0;1;0;1;0;0
istrunuti;0;1;0;0;0;1;0;1;0;0
istrunuo;0;1;0;0;1;0;0;1;0;0
propao;0;1;0;0;1;0;0;1;0;0
pokojni;0;1;0;0;0;0;0;1;0;0
pokojnik;0;1;0;0;0;0;0;1;0;0
umrli;0;1;0;0;0;0;0;1;0;0
mrtav;0;1;0;0;0;0;0;1;0;0
obmana;0;1;1;0;1;1;0;1;1;0
prijevara;0;1;1;0;1;1;0;1;1;0
prevara;0;1;1;0;1;1;0;1;1;0
prijevaran;0;1;0;0;1;0;0;1;0;0
varljiv;0;1;0;0;1;0;0;1;0;0
prevariti;0;1;1;0;1;0;0;1;0;0
varati;0;1;1;0;1;0;0;1;0;0
obmanjivati;0;1;1;0;1;0;0;1;0;0
obmanuti;0;1;1;0;1;0;0;1;0;0
prevaren;0;1;1;0;0;0;0;0;0;0
obmanut;0;1;1;0;0;0;0;0;0;0
obmanjuju?i;0;1;0;0;0;0;0;0;0;1
pristojnost;1;0;0;0;0;0;0;0;0;0
pristojan;1;0;0;0;0;0;0;0;0;0
pošten;1;0;0;0;0;0;0;0;0;0
prijevara;0;1;0;0;0;0;0;0;0;0
prevara;0;1;0;0;0;0;0;0;0;0
obmana;0;1;0;0;0;0;0;0;0;0
izdaja;0;1;0;0;0;0;0;0;0;0
prijevaran;0;1;0;0;0;0;0;0;0;0
prevaran;0;1;0;0;0;0;0;0;0;0
obmanjuju?;0;1;0;0;0;0;0;0;0;0
izdajni?ki;0;1;0;0;0;0;0;0;0;0
deklaratoran;1;0;0;0;0;0;0;0;0;0
nazadovanje;0;1;0;0;0;0;0;0;0;0
odbiti;0;1;0;0;0;0;0;0;0;0
propasti;0;1;0;0;0;0;0;0;0;0
propadanje;0;1;0;0;0;0;0;0;0;0
padaju?i;0;1;0;0;0;0;0;0;0;0
raspasti se;0;0;0;0;1;0;0;0;0;0
raspadati se;0;0;0;0;1;0;0;0;0;0
trunuti;0;0;0;0;1;0;0;0;0;0
raspadnut;0;0;0;0;0;0;0;1;0;0
truo;0;0;0;0;0;0;0;1;0;0
raspadanje;0;1;0;0;1;1;0;1;0;0
truljenje;0;1;0;0;1;1;0;1;0;0
mamac;0;0;0;0;0;0;0;0;1;0
smanjenje;0;1;0;0;0;0;0;0;0;0
pad;0;1;0;0;0;0;0;0;0;0
opadanje;0;1;0;0;0;0;0;0;0;0
smanjenje;0;1;0;0;0;0;0;0;0;0
oronuo;0;1;0;0;0;0;0;0;0;0
ozloglasiti;0;1;1;0;0;0;0;0;0;0
poniziti;0;1;1;0;0;0;0;0;0;0
ocrniti;0;1;1;0;0;0;0;0;0;0
predanost;1;0;0;0;0;0;0;0;0;0
privrženost;1;0;0;0;0;0;0;0;0;0
posve?enost;1;0;0;0;0;0;0;0;0;0
odbiti;0;1;0;0;0;0;0;0;0;0
djelo;0;0;0;0;0;0;0;0;0;1
?in;0;0;0;0;0;0;0;0;0;1
klevetanje;0;1;0;0;1;1;0;0;0;0
kleveta;0;1;0;0;1;1;0;0;0;0
bla?enje;0;1;0;0;1;1;0;0;0;0
klevetni?ki;0;1;1;0;0;0;0;0;0;0
nebriga;0;1;0;0;1;1;0;1;0;0
poraz;0;1;0;0;0;0;0;0;0;0
poraziti;0;1;0;0;0;0;0;0;0;0
poražen;0;1;0;0;0;0;0;1;0;0
mana;0;1;1;0;0;0;0;0;0;0
nedostatak;0;1;1;0;0;0;0;0;0;0
kvar;0;1;1;0;0;0;0;0;0;0
mana;0;1;1;0;0;0;0;0;0;0
manjkavost;0;1;1;0;0;0;0;0;0;0
dezerterstvo;0;1;0;0;0;1;0;0;0;0
bijeg;0;1;0;0;0;1;0;0;0;0
prebjeg;0;1;0;0;0;1;0;0;0;0
neispravan;0;1;0;0;1;0;0;0;0;0
manjkav;0;1;0;0;1;0;0;0;0;0
defektan;0;1;0;0;1;0;0;0;0;0
braniti;1;0;0;0;0;1;0;0;0;0
štititi;1;0;0;0;0;1;0;0;0;0
obraniti;1;0;0;0;0;1;0;0;0;0
tuženik;0;0;1;0;0;1;0;1;0;0
optuženik;0;0;1;0;0;1;0;1;0;0
okrivljenik;0;0;1;0;0;1;0;1;0;0
optuženi;0;0;1;0;0;1;0;1;0;0
branjen;1;0;0;0;0;0;0;0;0;1
branitelj;1;0;0;0;0;0;0;0;0;1
zaštitnik;1;0;0;0;0;0;0;0;0;1
obramben;1;0;0;0;0;0;0;0;0;0
zaštitni;1;0;0;0;0;0;0;0;0;0
obrana;1;0;1;1;0;1;0;0;0;0
bespomo?an;0;1;0;0;0;1;0;1;0;0
priklanjanje;1;0;0;0;0;0;0;0;0;1
odgoda;0;1;0;0;0;0;0;0;0;0
prkos;0;1;1;0;1;1;0;0;0;0
inat;0;1;1;0;1;1;0;0;0;0
otpor;0;1;1;0;1;1;0;0;0;0
protivljenje;0;1;1;0;1;1;0;0;0;0
buntovnost;0;1;1;0;1;1;0;0;0;0
prkosnost;0;1;1;0;1;1;0;0;0;0
opiranje;0;1;1;0;1;1;0;0;0;0
prkosan;0;1;1;0;0;0;0;0;0;0
nedostatak;0;1;0;0;0;0;0;0;0;0
manjak;0;1;0;0;0;0;0;0;0;0
manjkavost;0;1;0;0;0;0;0;0;0;0
deficit;0;1;0;0;0;0;0;0;0;0
manjak;0;1;0;0;0;0;0;0;0;0
gubitak;0;1;0;0;0;0;0;0;0;0
kona?an;1;0;0;0;0;0;0;0;0;1
ispuhati;0;1;1;0;0;0;0;1;0;0
deflacija;0;1;0;0;0;1;0;0;0;0
deformirati;0;1;0;0;1;0;0;0;0;0
unakaziti;0;1;0;0;1;0;0;0;0;0
deformiran;0;1;0;0;1;0;0;1;0;0
unakažen;0;1;0;0;1;0;0;1;0;0
deformacija;0;1;0;0;1;1;0;1;0;0
deformitet;0;1;0;0;1;1;0;1;0;0
pronevjeriti;0;1;1;0;1;0;0;0;0;0
mrtav;0;1;0;0;0;0;0;1;0;0
prkositi;0;1;1;0;0;1;0;1;1;0
protiviti se;0;1;1;0;0;1;0;1;1;0
izopa?enost;0;1;1;0;1;0;0;1;0;0
izrod;0;1;0;0;0;0;0;0;0;0
