"date","posts","collected","z","dow"
"2024-08-20",262,TRUE,-0.120367354249738,"2"
"2024-08-21",277,TRUE,0.0186213534279994,"3"
"2024-08-22",277,TRUE,0.0186213534279994,"4"
"2024-08-23",254,TRUE,-0.194494665011198,"5"
"2024-08-24",230,TRUE,-0.416876597295578,"6"
"2024-08-25",229,TRUE,-0.42614251114076,"7"
"2024-08-26",244,TRUE,-0.287153803463023,"1"
"2024-08-27",214,TRUE,-0.565131218818497,"2"
"2024-08-28",199,TRUE,-0.704119926496235,"3"
"2024-08-29",255,TRUE,-0.185228751166015,"4"
"2024-08-30",204,TRUE,-0.657790357270322,"5"
"2024-08-31",175,TRUE,-0.926501858780614,"6"
"2024-09-01",248,TRUE,-0.250090148082293,"7"
"2024-09-02",309,TRUE,0.315130596473839,"1"
"2024-09-03",269,TRUE,-0.0555059573334605,"2"
"2024-09-04",219,TRUE,-0.518801649592585,"3"
"2024-09-05",243,TRUE,-0.296419717308205,"4"
"2024-09-06",279,TRUE,0.0371531811183644,"5"
"2024-09-07",286,TRUE,0.102014578034642,"6"
"2024-09-08",343,TRUE,0.630171667210044,"7"
"2024-09-09",363,TRUE,0.815489944113693,"1"
"2024-09-10",272,TRUE,-0.027708215797913,"2"
"2024-09-11",254,TRUE,-0.194494665011198,"3"
"2024-09-12",329,TRUE,0.500448873377489,"4"
"2024-09-13",332,TRUE,0.528246614913036,"5"
"2024-09-14",253,TRUE,-0.20376057885638,"6"
"2024-09-15",241,TRUE,-0.31495154499857,"7"
"2024-09-16",0,FALSE,,"1"
"2024-09-17",0,FALSE,,"2"
"2024-09-18",0,FALSE,,"3"
"2024-09-19",0,FALSE,,"4"
"2024-09-20",0,FALSE,,"5"
"2024-09-21",0,FALSE,,"6"
"2024-09-22",0,FALSE,,"7"
"2024-09-23",0,FALSE,,"1"
"2024-09-24",0,FALSE,,"2"
"2024-09-25",0,FALSE,,"3"
"2024-09-26",0,FALSE,,"4"
"2024-09-27",0,FALSE,,"5"
"2024-09-28",0,FALSE,,"6"
"2024-09-29",0,FALSE,,"7"
"2024-09-30",0,FALSE,,"1"
"2024-10-01",297,TRUE,0.203939630331649,"2"
"2024-10-02",307,TRUE,0.296598768783474,"3"
"2024-10-03",286,TRUE,0.102014578034642,"4"
"2024-10-04",346,TRUE,0.657969408745591,"5"
"2024-10-05",222,TRUE,-0.491003908057037,"6"
"2024-10-06",318,TRUE,0.398523821080481,"7"
"2024-10-07",381,TRUE,0.982276393326978,"1"
"2024-10-08",236,TRUE,-0.361281114224483,"2"
"2024-10-09",215,TRUE,-0.555865304973315,"3"
"2024-10-10",232,TRUE,-0.398344769605213,"4"
"2024-10-11",271,TRUE,-0.0369741296430955,"5"
"2024-10-12",211,TRUE,-0.592928960354045,"6"
"2024-10-13",174,TRUE,-0.935767772625797,"7"
"2024-10-14",245,TRUE,-0.27788788961784,"1"
"2024-10-15",223,TRUE,-0.481737994211855,"2"
"2024-10-16",208,TRUE,-0.620726701889592,"3"
"2024-10-17",295,TRUE,0.185407802641284,"4"
"2024-10-18",236,TRUE,-0.361281114224483,"5"
"2024-10-19",198,TRUE,-0.713385840341417,"6"
"2024-10-20",219,TRUE,-0.518801649592585,"7"
"2024-10-21",258,TRUE,-0.157431009630468,"1"
"2024-10-22",221,TRUE,-0.50026982190222,"2"
"2024-10-23",216,TRUE,-0.546599391128132,"3"
"2024-10-24",228,TRUE,-0.435408424985943,"4"
"2024-10-25",218,TRUE,-0.528067563437767,"5"
"2024-10-26",251,TRUE,-0.222292406546745,"6"
"2024-10-27",214,TRUE,-0.565131218818497,"7"
"2024-10-28",295,TRUE,0.185407802641284,"1"
"2024-10-29",285,TRUE,0.0927486641894593,"2"
"2024-10-30",370,TRUE,0.880351341029971,"3"
"2024-10-31",337,TRUE,0.574576184138949,"4"
"2024-11-01",461,TRUE,1.72354950094158,"5"
"2024-11-02",218,TRUE,-0.528067563437767,"6"
"2024-11-03",223,TRUE,-0.481737994211855,"7"
"2024-11-04",253,TRUE,-0.20376057885638,"1"
"2024-11-05",276,TRUE,0.00935543958281692,"2"
"2024-11-06",281,TRUE,0.0556850088087294,"3"
"2024-11-07",276,TRUE,0.00935543958281692,"4"
"2024-11-08",263,TRUE,-0.111101440404555,"5"
"2024-11-09",216,TRUE,-0.546599391128132,"6"
"2024-11-10",277,TRUE,0.0186213534279994,"7"
"2024-11-11",382,TRUE,0.991542307172161,"1"
"2024-11-12",349,TRUE,0.685767150281139,"2"
"2024-11-13",299,TRUE,0.222471458022014,"3"
"2024-11-14",291,TRUE,0.148344147260554,"4"
"2024-11-15",327,TRUE,0.481917045687124,"5"
"2024-11-16",210,TRUE,-0.602194874199227,"6"
"2024-11-17",282,TRUE,0.0649509226539118,"7"
"2024-11-18",314,TRUE,0.361460165699751,"1"
"2024-11-19",287,TRUE,0.111280491879824,"2"
"2024-11-20",361,TRUE,0.796958116423328,"3"
"2024-11-21",394,TRUE,1.10273327331435,"4"
"2024-11-22",295,TRUE,0.185407802641284,"5"
"2024-11-23",248,TRUE,-0.250090148082293,"6"
"2024-11-24",257,TRUE,-0.16669692347565,"7"
"2024-11-25",367,TRUE,0.852553599494423,"1"
"2024-11-26",368,TRUE,0.861819513339606,"2"
"2024-11-27",357,TRUE,0.759894461042599,"3"
"2024-11-28",337,TRUE,0.574576184138949,"4"
"2024-11-29",330,TRUE,0.509714787222671,"5"
"2024-11-30",337,TRUE,0.574576184138949,"6"
"2024-12-01",564,TRUE,2.67793862699537,"7"
"2024-12-02",453,TRUE,1.64942219018012,"1"
"2024-12-03",390,TRUE,1.06566961793362,"2"
"2024-12-04",386,TRUE,1.02860596255289,"3"
"2024-12-05",381,TRUE,0.982276393326978,"4"
"2024-12-06",396,TRUE,1.12126510100472,"5"
"2024-12-07",338,TRUE,0.583842097984131,"6"
"2024-12-08",340,TRUE,0.602373925674496,"7"
"2024-12-09",375,TRUE,0.926680910255883,"1"
"2024-12-10",373,TRUE,0.908149082565518,"2"
"2024-12-11",328,TRUE,0.491182959532306,"3"
"2024-12-12",369,TRUE,0.871085427184788,"4"
"2024-12-13",357,TRUE,0.759894461042599,"5"
"2024-12-14",374,TRUE,0.917414996410701,"6"
