"key","value","display_hr","display_en","source","scope","unit","summary"
"abuse_share","1.02058193849747","1,0 %","1.0%","output/themes.csv","theme sample","percent",TRUE
"disputes_share","0.147187621642663","0,1 %","0.1%","output/themes.csv","theme sample","percent",FALSE
"theme_docs","2839","2 839","2,839","output/nlp_coverage.csv","theme sample","posts",FALSE
"theme_rate","4.9874391722151","5,0 %","5.0%","output/nlp_coverage.csv","theme sample","percent",FALSE
"tone_docs","1134","1 134","1,134","output/nlp_coverage.csv","tone sample","posts",FALSE
"tone_rate","1.99216485427683","2,0 %","2.0%","output/nlp_coverage.csv","tone sample","percent",FALSE
"tone_mean","0.643061739875715","0,64","0.64","output/tone_overall.csv","tone sample","score",FALSE
"tone_positive_share","92.6807760141093","92,7 %","92.7%","output/tone_overall.csv","tone sample","percent",TRUE
"cli_mean","72.558182393709","73","73","output/tone_overall.csv","tone sample","per 1000 words",FALSE
"cli_confessional","71.288705300188","71","71","output/tone_by_label.csv","tone sample","per 1000 words",FALSE
"cli_secular","92.3802139802809","92","92","output/tone_by_label.csv","tone sample","per 1000 words",FALSE
"cli_ratio","1.29586045350774","1,30×","1.30×","output/tone_by_label.csv","tone sample","ratio",TRUE
"peak_posts","1050","1 050","1,050","output/event_arcs.csv","peak day","posts",TRUE
"peak_day","2024-12-25","25. prosinca 2024.","25 prosinac 2024","output/event_arcs.csv","peak day","date",FALSE
"peak_z","7.18117275575406","7,2","7.2","output/event_arcs.csv","peak day","sd",FALSE
"peak_arc_posts","1766","1 766","1,766","output/event_arcs.csv","peak arc","posts",FALSE
"peak_arc_span","2024-12-24 2024-12-25","od 24. 12. 2024. do 25. 12. 2024.","24 prosinac to 25 prosinac 2024","output/event_arcs.csv","peak arc","span",FALSE
"arcs_n","2","2","2","output/event_arcs.csv","2024","arcs",FALSE
"web_stream_change","19.3766973396261","+19,4 %","+19.4%","output/stream_halfyear.csv","post-2024 stream","percent",FALSE
"web_stream_sources_change","7.87269681742044","+7,9 %","+7.9%","output/stream_halfyear.csv","post-2024 stream","percent",FALSE
"facebook_stream_change","98.5239545832179","+98,5 %","+98.5%","output/stream_halfyear.csv","post-2024 stream","percent",FALSE
"facebook_stream_sources_change","85.5172413793103","+85,5 %","+85.5%","output/stream_halfyear.csv","post-2024 stream","percent",FALSE
"stream_base_label","3. tromjesečje 2024.","3. tromjesečje 2024.","3. tromjesečje 2024.","output/stream_halfyear.csv","post-2024 stream","period",FALSE
"stream_report_label","4. tromjesečje 2024.","4. tromjesečje 2024.","4. tromjesečje 2024.","output/stream_halfyear.csv","post-2024 stream","period",FALSE
"special_linked","652","652","652","studies/inflation-salience","study period","posts",FALSE
"special_core","520","520","520","studies/inflation-salience","study period","posts",FALSE
"special_peak_posts","61","61","61","studies/inflation-salience","study period","posts",FALSE
"special_lag_months","19","19","19","studies/inflation-salience","study period","months",FALSE
