"item1","item2","correlation"
"MEDIJI_UMJETNOST_I_KULTURA","UNUTARCRKVENI_PRIJEPORI_I_IDEOLOGIJE",0.0876087659967803
"ODNOS_S_DRUGIM_RELIGIJAMA_I_POGLEDIMA","UNUTARCRKVENI_PRIJEPORI_I_IDEOLOGIJE",0.138368423361975
"CRKVENE_FINANCIJE_I_IMOVINA","UNUTARCRKVENI_PRIJEPORI_I_IDEOLOGIJE",0.0579851933654359
"POLITIKA_I_ODNOS_S_DRZAVOM","UNUTARCRKVENI_PRIJEPORI_I_IDEOLOGIJE",0.147434844588607
"ZLOSTAVLJANJE_I_KRIZA_POVJERENJA","UNUTARCRKVENI_PRIJEPORI_I_IDEOLOGIJE",0.0771594814483147
"KARITAS_I_SOCIJALNA_PRAVDA","UNUTARCRKVENI_PRIJEPORI_I_IDEOLOGIJE",0.0660918598424591
"TEOLOGIJA_I_DOKTRINA","UNUTARCRKVENI_PRIJEPORI_I_IDEOLOGIJE",0.0862945904928414
"CRKVENO_UPRAVLJANJE_I_STRUKTURA","GLOBALNA_CRKVA_I_MISIJE",0.058120245577643
"BIOETIKA_I_KULTURNI_RATOVI","GLOBALNA_CRKVA_I_MISIJE",0.117500257663779
"POVIJEST_I_NACIONALNI_IDENTITET","GLOBALNA_CRKVA_I_MISIJE",0.137305470599071
"DUHOVNOST_I_LITURGIJA","GLOBALNA_CRKVA_I_MISIJE",0.0650457229288255
"PAPE_I_VATIKAN","GLOBALNA_CRKVA_I_MISIJE",0.1711663743878
"MEDIJI_UMJETNOST_I_KULTURA","GLOBALNA_CRKVA_I_MISIJE",0.118739283360987
"ODNOS_S_DRUGIM_RELIGIJAMA_I_POGLEDIMA","GLOBALNA_CRKVA_I_MISIJE",0.0848004805377921
"CRKVENE_FINANCIJE_I_IMOVINA","GLOBALNA_CRKVA_I_MISIJE",0.107110588054973
"POLITIKA_I_ODNOS_S_DRZAVOM","GLOBALNA_CRKVA_I_MISIJE",0.1567284119869
"ZLOSTAVLJANJE_I_KRIZA_POVJERENJA","GLOBALNA_CRKVA_I_MISIJE",0.0542489956859274
"KARITAS_I_SOCIJALNA_PRAVDA","GLOBALNA_CRKVA_I_MISIJE",0.127795036862808
"TEOLOGIJA_I_DOKTRINA","GLOBALNA_CRKVA_I_MISIJE",0.0784607227751016
"UNUTARCRKVENI_PRIJEPORI_I_IDEOLOGIJE","GLOBALNA_CRKVA_I_MISIJE",0.074990320870133
"CRKVENO_UPRAVLJANJE_I_STRUKTURA","DIGITALNA_EVANGELIZACIJA_I_MLADI",0.0702751477598057
"BIOETIKA_I_KULTURNI_RATOVI","DIGITALNA_EVANGELIZACIJA_I_MLADI",0.169457995545793
"POVIJEST_I_NACIONALNI_IDENTITET","DIGITALNA_EVANGELIZACIJA_I_MLADI",0.146844487634651
"DUHOVNOST_I_LITURGIJA","DIGITALNA_EVANGELIZACIJA_I_MLADI",0.0936137500893898
"PAPE_I_VATIKAN","DIGITALNA_EVANGELIZACIJA_I_MLADI",0.0573083938646323
"MEDIJI_UMJETNOST_I_KULTURA","DIGITALNA_EVANGELIZACIJA_I_MLADI",0.151653490082886
"ODNOS_S_DRUGIM_RELIGIJAMA_I_POGLEDIMA","DIGITALNA_EVANGELIZACIJA_I_MLADI",0.0481188653329396
"CRKVENE_FINANCIJE_I_IMOVINA","DIGITALNA_EVANGELIZACIJA_I_MLADI",0.0751766932815686
"POLITIKA_I_ODNOS_S_DRZAVOM","DIGITALNA_EVANGELIZACIJA_I_MLADI",0.115698704469825
"ZLOSTAVLJANJE_I_KRIZA_POVJERENJA","DIGITALNA_EVANGELIZACIJA_I_MLADI",0.086202770192512
"KARITAS_I_SOCIJALNA_PRAVDA","DIGITALNA_EVANGELIZACIJA_I_MLADI",0.137961650410793
"TEOLOGIJA_I_DOKTRINA","DIGITALNA_EVANGELIZACIJA_I_MLADI",0.0789775254988607
"UNUTARCRKVENI_PRIJEPORI_I_IDEOLOGIJE","DIGITALNA_EVANGELIZACIJA_I_MLADI",0.0614993284794049
"GLOBALNA_CRKVA_I_MISIJE","DIGITALNA_EVANGELIZACIJA_I_MLADI",0.103519637547564
"CRKVENO_UPRAVLJANJE_I_STRUKTURA","ZNANOST_I_VJERA",0.0179098331404264
"BIOETIKA_I_KULTURNI_RATOVI","ZNANOST_I_VJERA",0.116168573376624
"POVIJEST_I_NACIONALNI_IDENTITET","ZNANOST_I_VJERA",0.118092887016859
"DUHOVNOST_I_LITURGIJA","ZNANOST_I_VJERA",0.0359525874587685
"PAPE_I_VATIKAN","ZNANOST_I_VJERA",0.0639498888797365
"MEDIJI_UMJETNOST_I_KULTURA","ZNANOST_I_VJERA",0.162333408791941
"ODNOS_S_DRUGIM_RELIGIJAMA_I_POGLEDIMA","ZNANOST_I_VJERA",0.117473845441304
"CRKVENE_FINANCIJE_I_IMOVINA","ZNANOST_I_VJERA",0.0780821476995589
"POLITIKA_I_ODNOS_S_DRZAVOM","ZNANOST_I_VJERA",0.188263852937309
"ZLOSTAVLJANJE_I_KRIZA_POVJERENJA","ZNANOST_I_VJERA",0.0666549118724263
"KARITAS_I_SOCIJALNA_PRAVDA","ZNANOST_I_VJERA",0.0888620214605597
"TEOLOGIJA_I_DOKTRINA","ZNANOST_I_VJERA",0.13686527171677
"UNUTARCRKVENI_PRIJEPORI_I_IDEOLOGIJE","ZNANOST_I_VJERA",0.134906596050644
"GLOBALNA_CRKVA_I_MISIJE","ZNANOST_I_VJERA",0.106854583476564
"DIGITALNA_EVANGELIZACIJA_I_MLADI","ZNANOST_I_VJERA",0.118823511139641
