rid,DATE,FROM,otype,c_infl,c_link,c_foreign,c_register,domestic,n_ann
624055,2026-03-23,24sata.hr,Secular/other,1,0,0,none,0,3
624326,2026-03-23,Slavonija info,Secular/other,1,0,0,none,0,3
625706,2026-03-25,023.hr,Secular/other,1,0,0,none,0,3
625708,2026-03-25,023.hr,Secular/other,1,0,0,none,0,3
625801,2026-03-25,bitno.net,Secular/other,1,1,1,justice,0,3
625982,2026-03-25,net.hr,Secular/other,1,0,0,none,0,3
626057,2026-03-26,pakrackilist.hr,Secular/other,1,0,0,none,0,3
626399,2026-03-26,portalnovosti.com,Secular/other,1,0,0,none,0,3
628484,2026-04-23,centarzlata.com,Secular/other,1,1,0,disputed,1,3
628521,2026-04-23,centarzlata.com,Secular/other,1,1,0,disputed,1,3
628899,2026-04-23,vecernji.hr,Secular/other,1,0,0,none,0,3
629011,2026-04-23,dalmacijadanas.hr,Secular/other,1,0,0,none,0,3
629024,2026-04-23,telegram.hr,Secular/other,1,0,0,none,0,3
629741,2026-04-24,zagreb.info,Secular/other,1,0,0,none,0,3
631019,2026-05-12,slobodnadalmacija.hr,Secular/other,1,1,0,cost_relig_life,1,3
632041,2026-05-13,gracanicainfo.com,Secular/other,0,0,1,none,0,3
632742,2026-05-14,radiomarija.hr,Secular/other,1,1,0,institution,1,3
632768,2026-05-14,bitcoin.com,Secular/other,1,0,1,none,0,3
632996,2026-05-15,drvo-namjestaj.hr,Secular/other,1,0,0,none,0,3
633006,2026-05-15,crovijesti.com,Secular/other,1,0,0,none,0,3
633078,2026-05-15,istra-istria.hr,Secular/other,1,0,0,none,0,3
634779,2026-05-26,vecernji.hr,Secular/other,0,0,0,none,0,3
635358,2026-06-01,gov.hr,Secular/other,1,0,0,none,0,3
635492,2026-06-01,tportal.hr,Secular/other,1,0,0,none,0,3
635936,2026-01-26,novilist.hr,Secular/other,1,1,0,cost_relig_life,1,3
636174,2026-01-26,teleskop.hr,Secular/other,1,1,0,cost_relig_life,1,3
636201,2026-01-26,Glas Slavonije,Secular/other,1,1,0,cost_relig_life,1,3
636207,2026-01-26,glas-slavonije.hr,Secular/other,1,1,0,cost_relig_life,1,3
636209,2026-01-26,glas-slavonije.hr,Secular/other,1,1,0,cost_relig_life,1,3
636242,2026-01-26,novilist.hr,Secular/other,1,1,0,cost_relig_life,1,3
636691,2026-06-09,poslovni.hr,Business,1,0,1,none,0,3
637585,2026-06-10,bloombergadria.com,Business,1,0,1,none,0,3
637636,2026-06-10,index.hr,Secular/other,1,0,0,none,0,3
638255,2026-06-11,dnevnik.hr,Secular/other,1,0,0,none,0,3
638782,2026-05-21,ideje.hr,Secular/other,1,0,0,none,0,3
638783,2026-05-21,ideje.hr,Secular/other,1,0,0,none,0,3
640077,2026-01-30,ogportal.com,Secular/other,1,0,0,none,0,3
640081,2026-01-30,dnevnik.hr,Secular/other,1,0,0,none,0,3
640087,2026-01-30,nacional.hr,Secular/other,1,0,0,none,0,3
640089,2026-01-30,telegram.hr,Secular/other,1,0,0,none,0,3
640096,2026-01-30,novilist.hr,Secular/other,1,0,0,none,0,3
640098,2026-01-30,tportal.hr,Secular/other,1,0,0,none,0,3
640099,2026-01-30,24sata.hr,Secular/other,1,0,0,none,0,3
640104,2026-01-30,direktno.hr,Secular/other,1,0,0,none,0,3
640112,2026-01-30,jutarnji.hr,Secular/other,1,0,0,none,0,3
640113,2026-01-30,n1info.hr,Secular/other,1,0,0,none,0,3
640117,2026-01-30,prigorski.hr,Secular/other,1,0,0,none,0,3
640125,2026-01-30,nacional.hr,Secular/other,1,0,0,none,0,3
640133,2026-01-30,hrt.hr,Secular/other,1,0,0,none,0,3
640235,2026-01-30,poslovni.hr,Business,1,0,1,none,0,3
641099,2026-02-01,dnevnik.hr,Secular/other,1,0,0,none,0,3
642510,2026-02-05,rva.hr,Secular/other,1,0,0,none,0,3
642643,2026-02-05,pszupanija.hr,Catholic,1,0,0,none,0,3
642646,2026-02-05,dnevnik.hr,Secular/other,1,0,0,none,0,3
643174,2026-02-04,crovijesti.com,Secular/other,1,0,1,none,0,3
