"domain","linked_pairs","core_pairs","detected_rate","specification","omitted_terms","code","denominator_sensitivity_rate"
"green_energy",1559,202,12.957,"leave_out_opcija_za_siromasne","opcija_za_siromasne","ax1_strict",14.6683
"housing",2627,1,0.0381,"leave_out_opcija_za_siromasne","opcija_za_siromasne","ax1_strict",0.0508
"demography_econ",567,3,0.5291,"leave_out_opcija_za_siromasne","opcija_za_siromasne","ax1_strict",0.9921
"inflation_prices",787,1,0.1271,"leave_out_opcija_za_siromasne","opcija_za_siromasne","ax1_strict",0.1773
"unemployment",3335,30,0.8996,"leave_out_opcija_za_siromasne","opcija_za_siromasne","ax1_strict",1.384
"wages_income",9776,44,0.4501,"leave_out_opcija_za_siromasne","opcija_za_siromasne","ax1_strict",1.929
"poverty_social",31354,573,1.8275,"leave_out_opcija_za_siromasne","opcija_za_siromasne","ax1_strict",3.4266
"macro_aggregates",1938,69,3.5604,"leave_out_ecology_markers","laudato_si laudate_deum integralna_ekologija","ax1_link_genuine",5.3406
"euro_changeover",243,0,0,"leave_out_ecology_markers","laudato_si laudate_deum integralna_ekologija","ax1_link_genuine",0
"taxes_fiscal",14110,174,1.2332,"leave_out_ecology_markers","laudato_si laudate_deum integralna_ekologija","ax1_link_genuine",3.8943
"business_comp",13143,94,0.7152,"leave_out_ecology_markers","laudato_si laudate_deum integralna_ekologija","ax1_link_genuine",2.0434
"green_energy",1559,27,1.7319,"leave_out_ecology_markers","laudato_si laudate_deum integralna_ekologija","ax1_link_genuine",1.9606
"housing",2627,1,0.0381,"leave_out_ecology_markers","laudato_si laudate_deum integralna_ekologija","ax1_link_genuine",0.0508
"demography_econ",567,3,0.5291,"leave_out_ecology_markers","laudato_si laudate_deum integralna_ekologija","ax1_link_genuine",0.9921
"inflation_prices",787,1,0.1271,"leave_out_ecology_markers","laudato_si laudate_deum integralna_ekologija","ax1_link_genuine",0.1695
"unemployment",3335,27,0.8096,"leave_out_ecology_markers","laudato_si laudate_deum integralna_ekologija","ax1_link_genuine",1.2455
"wages_income",9776,43,0.4399,"leave_out_ecology_markers","laudato_si laudate_deum integralna_ekologija","ax1_link_genuine",1.7596
"poverty_social",31354,449,1.432,"leave_out_ecology_markers","laudato_si laudate_deum integralna_ekologija","ax1_link_genuine",1.9981
"macro_aggregates",1938,69,3.5604,"leave_out_ecology_markers","laudato_si laudate_deum integralna_ekologija","ax1_strict",5.4775
"euro_changeover",243,0,0,"leave_out_ecology_markers","laudato_si laudate_deum integralna_ekologija","ax1_strict",0
"taxes_fiscal",14110,174,1.2332,"leave_out_ecology_markers","laudato_si laudate_deum integralna_ekologija","ax1_strict",4.1107
"business_comp",13143,94,0.7152,"leave_out_ecology_markers","laudato_si laudate_deum integralna_ekologija","ax1_strict",2.384
"green_energy",1559,27,1.7319,"leave_out_ecology_markers","laudato_si laudate_deum integralna_ekologija","ax1_strict",1.9606
"housing",2627,1,0.0381,"leave_out_ecology_markers","laudato_si laudate_deum integralna_ekologija","ax1_strict",0.0508
"demography_econ",567,3,0.5291,"leave_out_ecology_markers","laudato_si laudate_deum integralna_ekologija","ax1_strict",0.9921
"inflation_prices",787,1,0.1271,"leave_out_ecology_markers","laudato_si laudate_deum integralna_ekologija","ax1_strict",0.1773
"unemployment",3335,27,0.8096,"leave_out_ecology_markers","laudato_si laudate_deum integralna_ekologija","ax1_strict",1.2455
"wages_income",9776,43,0.4399,"leave_out_ecology_markers","laudato_si laudate_deum integralna_ekologija","ax1_strict",1.8853
"poverty_social",31354,449,1.432,"leave_out_ecology_markers","laudato_si laudate_deum integralna_ekologija","ax1_strict",2.685
