"domain","linked_pairs","core_pairs","detected_rate","specification","omitted_terms"
"euro_changeover",243,0,0,"leave_out_populorum_progressio","populorum_progressio"
"taxes_fiscal",14110,206,1.46,"leave_out_populorum_progressio","populorum_progressio"
"business_comp",13143,120,0.913,"leave_out_populorum_progressio","populorum_progressio"
"green_energy",1559,202,12.957,"leave_out_populorum_progressio","populorum_progressio"
"housing",2627,1,0.0381,"leave_out_populorum_progressio","populorum_progressio"
"demography_econ",567,3,0.5291,"leave_out_populorum_progressio","populorum_progressio"
"inflation_prices",787,1,0.1271,"leave_out_populorum_progressio","populorum_progressio"
"unemployment",3335,30,0.8996,"leave_out_populorum_progressio","populorum_progressio"
"wages_income",9776,44,0.4501,"leave_out_populorum_progressio","populorum_progressio"
"poverty_social",31354,582,1.8562,"leave_out_populorum_progressio","populorum_progressio"
"macro_aggregates",1938,94,4.8504,"leave_out_octogesima_adveniens","octogesima_adveniens"
"euro_changeover",243,0,0,"leave_out_octogesima_adveniens","octogesima_adveniens"
"taxes_fiscal",14110,208,1.4741,"leave_out_octogesima_adveniens","octogesima_adveniens"
"business_comp",13143,121,0.9206,"leave_out_octogesima_adveniens","octogesima_adveniens"
"green_energy",1559,202,12.957,"leave_out_octogesima_adveniens","octogesima_adveniens"
"housing",2627,1,0.0381,"leave_out_octogesima_adveniens","octogesima_adveniens"
"demography_econ",567,3,0.5291,"leave_out_octogesima_adveniens","octogesima_adveniens"
"inflation_prices",787,1,0.1271,"leave_out_octogesima_adveniens","octogesima_adveniens"
"unemployment",3335,30,0.8996,"leave_out_octogesima_adveniens","octogesima_adveniens"
"wages_income",9776,44,0.4501,"leave_out_octogesima_adveniens","octogesima_adveniens"
"poverty_social",31354,586,1.869,"leave_out_octogesima_adveniens","octogesima_adveniens"
"macro_aggregates",1938,94,4.8504,"leave_out_laborem_exercens","laborem_exercens"
"euro_changeover",243,0,0,"leave_out_laborem_exercens","laborem_exercens"
"taxes_fiscal",14110,208,1.4741,"leave_out_laborem_exercens","laborem_exercens"
"business_comp",13143,121,0.9206,"leave_out_laborem_exercens","laborem_exercens"
"green_energy",1559,202,12.957,"leave_out_laborem_exercens","laborem_exercens"
"housing",2627,1,0.0381,"leave_out_laborem_exercens","laborem_exercens"
"demography_econ",567,3,0.5291,"leave_out_laborem_exercens","laborem_exercens"
"inflation_prices",787,1,0.1271,"leave_out_laborem_exercens","laborem_exercens"
"unemployment",3335,30,0.8996,"leave_out_laborem_exercens","laborem_exercens"
"wages_income",9776,43,0.4399,"leave_out_laborem_exercens","laborem_exercens"
"poverty_social",31354,586,1.869,"leave_out_laborem_exercens","laborem_exercens"
"macro_aggregates",1938,94,4.8504,"leave_out_sollicitudo_rei_soc","sollicitudo_rei_soc"
"euro_changeover",243,0,0,"leave_out_sollicitudo_rei_soc","sollicitudo_rei_soc"
"taxes_fiscal",14110,208,1.4741,"leave_out_sollicitudo_rei_soc","sollicitudo_rei_soc"
"business_comp",13143,121,0.9206,"leave_out_sollicitudo_rei_soc","sollicitudo_rei_soc"
"green_energy",1559,202,12.957,"leave_out_sollicitudo_rei_soc","sollicitudo_rei_soc"
"housing",2627,1,0.0381,"leave_out_sollicitudo_rei_soc","sollicitudo_rei_soc"
"demography_econ",567,3,0.5291,"leave_out_sollicitudo_rei_soc","sollicitudo_rei_soc"
"inflation_prices",787,1,0.1271,"leave_out_sollicitudo_rei_soc","sollicitudo_rei_soc"
