"ym","data_source","n","domain"
"2025-05","filtered_religious",335,"green_energy"
"2025-06","filtered_religious",346,"green_energy"
"2025-07","filtered_religious",370,"green_energy"
"2025-08","filtered_religious",257,"green_energy"
"2025-09","filtered_religious",231,"green_energy"
"2025-10","filtered_religious",520,"green_energy"
"2025-11","filtered_religious",389,"green_energy"
"2025-12","filtered_religious",319,"green_energy"
"2026-01","filtered_religious",281,"green_energy"
"2026-02","filtered_religious",290,"green_energy"
"2026-03","filtered_religious",671,"green_energy"
"2026-04","filtered_religious",549,"green_energy"
"2026-05","filtered_religious",624,"green_energy"
"2026-06","filtered_religious",234,"green_energy"
"2021-01","original_dta",1109,"housing"
"2021-02","original_dta",323,"housing"
"2021-03","original_dta",276,"housing"
"2021-04","original_dta",150,"housing"
"2021-05","original_dta",152,"housing"
"2021-06","original_dta",109,"housing"
"2021-07","original_dta",151,"housing"
"2021-08","original_dta",99,"housing"
"2021-09","original_dta",163,"housing"
"2021-10","original_dta",150,"housing"
"2021-11","original_dta",162,"housing"
"2021-12","original_dta",220,"housing"
"2022-01","original_dta",129,"housing"
"2022-02","original_dta",193,"housing"
"2022-03","original_dta",265,"housing"
"2022-04","original_dta",176,"housing"
"2022-05","original_dta",121,"housing"
"2022-06","original_dta",114,"housing"
"2022-07","original_dta",110,"housing"
"2022-08","original_dta",116,"housing"
"2022-09","original_dta",100,"housing"
"2022-10","original_dta",129,"housing"
"2022-11","original_dta",142,"housing"
"2022-12","original_dta",188,"housing"
"2023-01","original_dta",104,"housing"
"2023-02","original_dta",123,"housing"
"2023-03","original_dta",196,"housing"
"2023-04","original_dta",194,"housing"
"2023-05","original_dta",168,"housing"
"2023-06","original_dta",121,"housing"
"2023-07","original_dta",133,"housing"
"2023-08","original_dta",140,"housing"
"2023-09","original_dta",101,"housing"
"2023-10","original_dta",120,"housing"
"2023-11","original_dta",112,"housing"
"2023-12","original_dta",198,"housing"
"2024-01","original_dta",27,"housing"
"2024-06","original_dta",143,"housing"
"2024-07","filtered_religious",476,"housing"
"2024-07","original_dta",14,"housing"
"2024-08","filtered_religious",364,"housing"
"2024-09","filtered_religious",200,"housing"
"2024-10","filtered_religious",582,"housing"
"2024-11","filtered_religious",604,"housing"
"2024-12","filtered_religious",547,"housing"
"2025-01","filtered_religious",404,"housing"
"2025-02","filtered_religious",468,"housing"
"2025-03","filtered_religious",552,"housing"
"2025-04","filtered_religious",410,"housing"
"2025-05","filtered_religious",418,"housing"
"2025-06","filtered_religious",482,"housing"
"2025-07","filtered_religious",443,"housing"
"2025-08","filtered_religious",377,"housing"
"2025-09","filtered_religious",267,"housing"
"2025-10","filtered_religious",557,"housing"
"2025-11","filtered_religious",533,"housing"
"2025-12","filtered_religious",678,"housing"
"2026-01","filtered_religious",542,"housing"
"2026-02","filtered_religious",622,"housing"
"2026-03","filtered_religious",857,"housing"
"2026-04","filtered_religious",582,"housing"
"2026-05","filtered_religious",756,"housing"
"2026-06","filtered_religious",265,"housing"
"2021-01","original_dta",83,"demography_econ"
"2021-02","original_dta",43,"demography_econ"
"2021-03","original_dta",23,"demography_econ"
"2021-04","original_dta",54,"demography_econ"
"2021-05","original_dta",45,"demography_econ"
"2021-06","original_dta",10,"demography_econ"
"2021-07","original_dta",30,"demography_econ"
"2021-08","original_dta",26,"demography_econ"
"2021-09","original_dta",33,"demography_econ"
"2021-10","original_dta",66,"demography_econ"
"2021-11","original_dta",55,"demography_econ"
"2021-12","original_dta",55,"demography_econ"
"2022-01","original_dta",44,"demography_econ"
"2022-02","original_dta",26,"demography_econ"
"2022-03","original_dta",82,"demography_econ"
"2022-04","original_dta",56,"demography_econ"
"2022-05","original_dta",62,"demography_econ"
"2022-06","original_dta",59,"demography_econ"
"2022-07","original_dta",29,"demography_econ"
"2022-08","original_dta",28,"demography_econ"
"2022-09","original_dta",25,"demography_econ"
"2022-10","original_dta",59,"demography_econ"
"2022-11","original_dta",39,"demography_econ"
"2022-12","original_dta",44,"demography_econ"
"2023-01","original_dta",21,"demography_econ"
"2023-02","original_dta",27,"demography_econ"
"2023-03","original_dta",64,"demography_econ"
"2023-04","original_dta",22,"demography_econ"
