outlet_id,display_name,segment,k,window_start,window_end,excluded_months,input_digest,registry_hash,url_policy_hash,panel_hash,panel_version,status
ipress_hr,ipress.hr,regional,20,2021-01,2026-08,2024-01;2024-02;2024-03,74f473e129d7a1613574b12a565374384bb28aafd8d4641c2d59ae4066e9d604,1aa55999a40fd28c80e24524bcde429bcb52e74694fc6fe7080d0d1afc0d83e3,ca42b84ce10c24229dbfa52e87b4ae5aaa1ab9b144c7f90b1f3141c34ac4dbef,6a94583f52c8d45d925c09860a027d65b60bb345d5fd5304964af3dc4fe7b463,panel_v1,approved_recommended
jatrgovac_com,jatrgovac.com,national,20,2021-01,2026-08,2024-01;2024-02;2024-03,74f473e129d7a1613574b12a565374384bb28aafd8d4641c2d59ae4066e9d604,1aa55999a40fd28c80e24524bcde429bcb52e74694fc6fe7080d0d1afc0d83e3,ca42b84ce10c24229dbfa52e87b4ae5aaa1ab9b144c7f90b1f3141c34ac4dbef,6a94583f52c8d45d925c09860a027d65b60bb345d5fd5304964af3dc4fe7b463,panel_v1,approved_recommended
jolie_hr,jolie.hr,national,20,2021-01,2026-08,2024-01;2024-02;2024-03,74f473e129d7a1613574b12a565374384bb28aafd8d4641c2d59ae4066e9d604,1aa55999a40fd28c80e24524bcde429bcb52e74694fc6fe7080d0d1afc0d83e3,ca42b84ce10c24229dbfa52e87b4ae5aaa1ab9b144c7f90b1f3141c34ac4dbef,6a94583f52c8d45d925c09860a027d65b60bb345d5fd5304964af3dc4fe7b463,panel_v1,approved_recommended
jutarnji_hr,Jutarnji list,national,20,2021-01,2026-08,2024-01;2024-02;2024-03,74f473e129d7a1613574b12a565374384bb28aafd8d4641c2d59ae4066e9d604,1aa55999a40fd28c80e24524bcde429bcb52e74694fc6fe7080d0d1afc0d83e3,ca42b84ce10c24229dbfa52e87b4ae5aaa1ab9b144c7f90b1f3141c34ac4dbef,6a94583f52c8d45d925c09860a027d65b60bb345d5fd5304964af3dc4fe7b463,panel_v1,approved_recommended
kaj_hr,kaj.hr,regional,20,2021-01,2026-08,2024-01;2024-02;2024-03,74f473e129d7a1613574b12a565374384bb28aafd8d4641c2d59ae4066e9d604,1aa55999a40fd28c80e24524bcde429bcb52e74694fc6fe7080d0d1afc0d83e3,ca42b84ce10c24229dbfa52e87b4ae5aaa1ab9b144c7f90b1f3141c34ac4dbef,6a94583f52c8d45d925c09860a027d65b60bb345d5fd5304964af3dc4fe7b463,panel_v1,approved_recommended
karlovacki_hr,Karlovački,regional,20,2021-01,2026-08,2024-01;2024-02;2024-03,74f473e129d7a1613574b12a565374384bb28aafd8d4641c2d59ae4066e9d604,1aa55999a40fd28c80e24524bcde429bcb52e74694fc6fe7080d0d1afc0d83e3,ca42b84ce10c24229dbfa52e87b4ae5aaa1ab9b144c7f90b1f3141c34ac4dbef,6a94583f52c8d45d925c09860a027d65b60bb345d5fd5304964af3dc4fe7b463,panel_v1,approved_recommended
klikaj_hr,Klikaj,regional,20,2021-01,2026-08,2024-01;2024-02;2024-03,74f473e129d7a1613574b12a565374384bb28aafd8d4641c2d59ae4066e9d604,1aa55999a40fd28c80e24524bcde429bcb52e74694fc6fe7080d0d1afc0d83e3,ca42b84ce10c24229dbfa52e87b4ae5aaa1ab9b144c7f90b1f3141c34ac4dbef,6a94583f52c8d45d925c09860a027d65b60bb345d5fd5304964af3dc4fe7b463,panel_v1,approved_recommended
klubskascena_hr,klubskascena.hr,national,20,2021-01,2026-08,2024-01;2024-02;2024-03,74f473e129d7a1613574b12a565374384bb28aafd8d4641c2d59ae4066e9d604,1aa55999a40fd28c80e24524bcde429bcb52e74694fc6fe7080d0d1afc0d83e3,ca42b84ce10c24229dbfa52e87b4ae5aaa1ab9b144c7f90b1f3141c34ac4dbef,6a94583f52c8d45d925c09860a027d65b60bb345d5fd5304964af3dc4fe7b463,panel_v1,approved_recommended
krizevci_info,Križevci.info,regional,20,2021-01,2026-08,2024-01;2024-02;2024-03,74f473e129d7a1613574b12a565374384bb28aafd8d4641c2d59ae4066e9d604,1aa55999a40fd28c80e24524bcde429bcb52e74694fc6fe7080d0d1afc0d83e3,ca42b84ce10c24229dbfa52e87b4ae5aaa1ab9b144c7f90b1f3141c34ac4dbef,6a94583f52c8d45d925c09860a027d65b60bb345d5fd5304964af3dc4fe7b463,panel_v1,approved_recommended
kronikevg_com,Kronike Velike Gorice,regional,20,2021-01,2026-08,2024-01;2024-02;2024-03,74f473e129d7a1613574b12a565374384bb28aafd8d4641c2d59ae4066e9d604,1aa55999a40fd28c80e24524bcde429bcb52e74694fc6fe7080d0d1afc0d83e3,ca42b84ce10c24229dbfa52e87b4ae5aaa1ab9b144c7f90b1f3141c34ac4dbef,6a94583f52c8d45d925c09860a027d65b60bb345d5fd5304964af3dc4fe7b463,panel_v1,approved_recommended
laudato_hr,Laudato,confessional,20,2021-01,2026-08,2024-01;2024-02;2024-03,74f473e129d7a1613574b12a565374384bb28aafd8d4641c2d59ae4066e9d604,1aa55999a40fd28c80e24524bcde429bcb52e74694fc6fe7080d0d1afc0d83e3,ca42b84ce10c24229dbfa52e87b4ae5aaa1ab9b144c7f90b1f3141c34ac4dbef,6a94583f52c8d45d925c09860a027d65b60bb345d5fd5304964af3dc4fe7b463,panel_v1,approved_recommended
lika_express_hr,Lika Express,regional,20,2021-01,2026-08,2024-01;2024-02;2024-03,74f473e129d7a1613574b12a565374384bb28aafd8d4641c2d59ae4066e9d604,1aa55999a40fd28c80e24524bcde429bcb52e74694fc6fe7080d0d1afc0d83e3,ca42b84ce10c24229dbfa52e87b4ae5aaa1ab9b144c7f90b1f3141c34ac4dbef,6a94583f52c8d45d925c09860a027d65b60bb345d5fd5304964af3dc4fe7b463,panel_v1,approved_recommended
