day,web_rows,text_rows,text_fraction,reason,mask_version,input_digest
2024-02-09,11192,0,0,nonnull_full_text_below_90pct,mask_v1+2ac830fd666d,74f473e129d7a1613574b12a565374384bb28aafd8d4641c2d59ae4066e9d604
2024-02-10,7847,0,0,nonnull_full_text_below_90pct,mask_v1+2ac830fd666d,74f473e129d7a1613574b12a565374384bb28aafd8d4641c2d59ae4066e9d604
2024-02-11,7914,0,0,nonnull_full_text_below_90pct,mask_v1+2ac830fd666d,74f473e129d7a1613574b12a565374384bb28aafd8d4641c2d59ae4066e9d604
2024-02-12,10973,0,0,nonnull_full_text_below_90pct,mask_v1+2ac830fd666d,74f473e129d7a1613574b12a565374384bb28aafd8d4641c2d59ae4066e9d604
2024-02-13,10838,0,0,nonnull_full_text_below_90pct,mask_v1+2ac830fd666d,74f473e129d7a1613574b12a565374384bb28aafd8d4641c2d59ae4066e9d604
2024-02-14,10940,0,0,nonnull_full_text_below_90pct,mask_v1+2ac830fd666d,74f473e129d7a1613574b12a565374384bb28aafd8d4641c2d59ae4066e9d604
2024-02-15,10828,0,0,nonnull_full_text_below_90pct,mask_v1+2ac830fd666d,74f473e129d7a1613574b12a565374384bb28aafd8d4641c2d59ae4066e9d604
2024-02-16,10630,0,0,nonnull_full_text_below_90pct,mask_v1+2ac830fd666d,74f473e129d7a1613574b12a565374384bb28aafd8d4641c2d59ae4066e9d604
2024-02-17,7937,0,0,nonnull_full_text_below_90pct,mask_v1+2ac830fd666d,74f473e129d7a1613574b12a565374384bb28aafd8d4641c2d59ae4066e9d604
2024-02-18,7216,0,0,nonnull_full_text_below_90pct,mask_v1+2ac830fd666d,74f473e129d7a1613574b12a565374384bb28aafd8d4641c2d59ae4066e9d604
2024-02-19,11351,0,0,nonnull_full_text_below_90pct,mask_v1+2ac830fd666d,74f473e129d7a1613574b12a565374384bb28aafd8d4641c2d59ae4066e9d604
2024-02-20,10726,0,0,nonnull_full_text_below_90pct,mask_v1+2ac830fd666d,74f473e129d7a1613574b12a565374384bb28aafd8d4641c2d59ae4066e9d604
2024-02-21,10661,0,0,nonnull_full_text_below_90pct,mask_v1+2ac830fd666d,74f473e129d7a1613574b12a565374384bb28aafd8d4641c2d59ae4066e9d604
2024-02-22,11050,0,0,nonnull_full_text_below_90pct,mask_v1+2ac830fd666d,74f473e129d7a1613574b12a565374384bb28aafd8d4641c2d59ae4066e9d604
2024-02-23,12222,0,0,nonnull_full_text_below_90pct,mask_v1+2ac830fd666d,74f473e129d7a1613574b12a565374384bb28aafd8d4641c2d59ae4066e9d604
2024-02-24,8288,0,0,nonnull_full_text_below_90pct,mask_v1+2ac830fd666d,74f473e129d7a1613574b12a565374384bb28aafd8d4641c2d59ae4066e9d604
2024-02-25,8176,0,0,nonnull_full_text_below_90pct,mask_v1+2ac830fd666d,74f473e129d7a1613574b12a565374384bb28aafd8d4641c2d59ae4066e9d604
2024-02-26,11858,0,0,nonnull_full_text_below_90pct,mask_v1+2ac830fd666d,74f473e129d7a1613574b12a565374384bb28aafd8d4641c2d59ae4066e9d604
2024-02-27,11585,0,0,nonnull_full_text_below_90pct,mask_v1+2ac830fd666d,74f473e129d7a1613574b12a565374384bb28aafd8d4641c2d59ae4066e9d604
2024-02-28,11833,0,0,nonnull_full_text_below_90pct,mask_v1+2ac830fd666d,74f473e129d7a1613574b12a565374384bb28aafd8d4641c2d59ae4066e9d604
2024-02-29,11786,0,0,nonnull_full_text_below_90pct,mask_v1+2ac830fd666d,74f473e129d7a1613574b12a565374384bb28aafd8d4641c2d59ae4066e9d604
2024-03-01,12098,0,0,nonnull_full_text_below_90pct,mask_v1+2ac830fd666d,74f473e129d7a1613574b12a565374384bb28aafd8d4641c2d59ae4066e9d604
2024-03-02,8209,0,0,nonnull_full_text_below_90pct,mask_v1+2ac830fd666d,74f473e129d7a1613574b12a565374384bb28aafd8d4641c2d59ae4066e9d604
2024-03-03,7547,0,0,nonnull_full_text_below_90pct,mask_v1+2ac830fd666d,74f473e129d7a1613574b12a565374384bb28aafd8d4641c2d59ae4066e9d604
2024-03-04,12548,0,0,nonnull_full_text_below_90pct,mask_v1+2ac830fd666d,74f473e129d7a1613574b12a565374384bb28aafd8d4641c2d59ae4066e9d604
2024-03-05,12198,0,0,nonnull_full_text_below_90pct,mask_v1+2ac830fd666d,74f473e129d7a1613574b12a565374384bb28aafd8d4641c2d59ae4066e9d604
2024-03-06,12175,0,0,nonnull_full_text_below_90pct,mask_v1+2ac830fd666d,74f473e129d7a1613574b12a565374384bb28aafd8d4641c2d59ae4066e9d604
2024-03-07,12211,0,0,nonnull_full_text_below_90pct,mask_v1+2ac830fd666d,74f473e129d7a1613574b12a565374384bb28aafd8d4641c2d59ae4066e9d604
2024-03-08,12002,0,0,nonnull_full_text_below_90pct,mask_v1+2ac830fd666d,74f473e129d7a1613574b12a565374384bb28aafd8d4641c2d59ae4066e9d604
2024-03-09,8092,0,0,nonnull_full_text_below_90pct,mask_v1+2ac830fd666d,74f473e129d7a1613574b12a565374384bb28aafd8d4641c2d59ae4066e9d604
2024-03-10,7900,0,0,nonnull_full_text_below_90pct,mask_v1+2ac830fd666d,74f473e129d7a1613574b12a565374384bb28aafd8d4641c2d59ae4066e9d604
2024-03-11,12250,0,0,nonnull_full_text_below_90pct,mask_v1+2ac830fd666d,74f473e129d7a1613574b12a565374384bb28aafd8d4641c2d59ae4066e9d604
2024-03-12,11803,0,0,nonnull_full_text_below_90pct,mask_v1+2ac830fd666d,74f473e129d7a1613574b12a565374384bb28aafd8d4641c2d59ae4066e9d604
2024-03-13,12129,0,0,nonnull_full_text_below_90pct,mask_v1+2ac830fd666d,74f473e129d7a1613574b12a565374384bb28aafd8d4641c2d59ae4066e9d604
2024-03-14,11741,0,0,nonnull_full_text_below_90pct,mask_v1+2ac830fd666d,74f473e129d7a1613574b12a565374384bb28aafd8d4641c2d59ae4066e9d604
2024-03-15,12127,0,0,nonnull_full_text_below_90pct,mask_v1+2ac830fd666d,74f473e129d7a1613574b12a565374384bb28aafd8d4641c2d59ae4066e9d604
2024-03-16,8306,0,0,nonnull_full_text_below_90pct,mask_v1+2ac830fd666d,74f473e129d7a1613574b12a565374384bb28aafd8d4641c2d59ae4066e9d604
2024-03-17,7752,0,0,nonnull_full_text_below_90pct,mask_v1+2ac830fd666d,74f473e129d7a1613574b12a565374384bb28aafd8d4641c2d59ae4066e9d604
2024-03-18,12277,0,0,nonnull_full_text_below_90pct,mask_v1+2ac830fd666d,74f473e129d7a1613574b12a565374384bb28aafd8d4641c2d59ae4066e9d604
2024-03-19,12048,0,0,nonnull_full_text_below_90pct,mask_v1+2ac830fd666d,74f473e129d7a1613574b12a565374384bb28aafd8d4641c2d59ae4066e9d604
2024-03-20,11860,0,0,nonnull_full_text_below_90pct,mask_v1+2ac830fd666d,74f473e129d7a1613574b12a565374384bb28aafd8d4641c2d59ae4066e9d604
2024-03-21,11844,0,0,nonnull_full_text_below_90pct,mask_v1+2ac830fd666d,74f473e129d7a1613574b12a565374384bb28aafd8d4641c2d59ae4066e9d604
2024-03-22,11788,0,0,nonnull_full_text_below_90pct,mask_v1+2ac830fd666d,74f473e129d7a1613574b12a565374384bb28aafd8d4641c2d59ae4066e9d604
2024-03-23,8061,0,0,nonnull_full_text_below_90pct,mask_v1+2ac830fd666d,74f473e129d7a1613574b12a565374384bb28aafd8d4641c2d59ae4066e9d604
2024-03-24,7131,0,0,nonnull_full_text_below_90pct,mask_v1+2ac830fd666d,74f473e129d7a1613574b12a565374384bb28aafd8d4641c2d59ae4066e9d604
2024-03-25,11712,0,0,nonnull_full_text_below_90pct,mask_v1+2ac830fd666d,74f473e129d7a1613574b12a565374384bb28aafd8d4641c2d59ae4066e9d604
2024-03-26,11165,0,0,nonnull_full_text_below_90pct,mask_v1+2ac830fd666d,74f473e129d7a1613574b12a565374384bb28aafd8d4641c2d59ae4066e9d604
2024-03-27,10979,0,0,nonnull_full_text_below_90pct,mask_v1+2ac830fd666d,74f473e129d7a1613574b12a565374384bb28aafd8d4641c2d59ae4066e9d604
2024-03-28,10697,0,0,nonnull_full_text_below_90pct,mask_v1+2ac830fd666d,74f473e129d7a1613574b12a565374384bb28aafd8d4641c2d59ae4066e9d604
2024-03-29,10228,0,0,nonnull_full_text_below_90pct,mask_v1+2ac830fd666d,74f473e129d7a1613574b12a565374384bb28aafd8d4641c2d59ae4066e9d604
2024-03-30,7421,0,0,nonnull_full_text_below_90pct,mask_v1+2ac830fd666d,74f473e129d7a1613574b12a565374384bb28aafd8d4641c2d59ae4066e9d604
2024-03-31,6337,0,0,nonnull_full_text_below_90pct,mask_v1+2ac830fd666d,74f473e129d7a1613574b12a565374384bb28aafd8d4641c2d59ae4066e9d604
