"stream","domain","register","share","n","provisional","n_suppressed"
"original_dta","unemployment","object_institution",0.1582,2762,TRUE,0
"original_dta","unemployment","object_cost_relig_life",0.0297,2762,TRUE,0
"original_dta","unemployment","charity",0.21,2762,TRUE,0
"original_dta","unemployment","justice",0.1531,2762,TRUE,0
"original_dta","unemployment","devotional",0.0764,2762,TRUE,0
"original_dta","unemployment","ambiguous",0.3726,2762,TRUE,0
"original_dta","wages_income","object_institution",0.1483,7174,TRUE,0
"original_dta","wages_income","object_cost_relig_life",0.0672,7174,TRUE,0
"original_dta","wages_income","charity",0.1614,7174,TRUE,0
"original_dta","wages_income","justice",0.0889,7174,TRUE,0
"original_dta","wages_income","devotional",0.1253,7174,TRUE,0
"original_dta","wages_income","ambiguous",0.4088,7174,TRUE,0
"filtered_religious","business_comp","object_institution",0.0857,19272,TRUE,0
"filtered_religious","business_comp","object_cost_relig_life",0.1028,19272,TRUE,0
"filtered_religious","business_comp","charity",0.1975,19272,TRUE,0
"filtered_religious","business_comp","justice",0.095,19272,TRUE,0
"filtered_religious","business_comp","devotional",0.0323,19272,TRUE,0
"filtered_religious","business_comp","ambiguous",0.4868,19272,TRUE,0
"filtered_religious","demography_econ","object_institution",0.1639,854,TRUE,0
"filtered_religious","demography_econ","object_cost_relig_life",0.0293,854,TRUE,0
"filtered_religious","demography_econ","charity",0.3185,854,TRUE,0
"filtered_religious","demography_econ","justice",0.1054,854,TRUE,0
"filtered_religious","demography_econ","devotional",0.0222,854,TRUE,0
"filtered_religious","demography_econ","ambiguous",0.3607,854,TRUE,0
"filtered_religious","euro_changeover","object_institution",0.4034,119,TRUE,0
"filtered_religious","euro_changeover","object_cost_relig_life",0.1345,119,TRUE,0
"filtered_religious","euro_changeover","charity",0.0672,119,TRUE,0
"filtered_religious","euro_changeover","justice",0.0756,119,TRUE,0
"filtered_religious","euro_changeover","devotional",0.0084,119,TRUE,0
"filtered_religious","euro_changeover","ambiguous",0.3109,119,TRUE,0
"filtered_religious","green_energy","object_institution",0.0665,2212,TRUE,0
"filtered_religious","green_energy","object_cost_relig_life",0.042,2212,TRUE,0
"filtered_religious","green_energy","charity",0.0787,2212,TRUE,0
"filtered_religious","green_energy","justice",0.4363,2212,TRUE,0
"filtered_religious","green_energy","devotional",0.0054,2212,TRUE,0
"filtered_religious","green_energy","ambiguous",0.3712,2212,TRUE,0
"filtered_religious","housing","object_institution",0.1782,2957,TRUE,0
"filtered_religious","housing","object_cost_relig_life",0.1133,2957,TRUE,0
"filtered_religious","housing","charity",0.2198,2957,TRUE,0
"filtered_religious","housing","justice",0.044,2957,TRUE,0
"filtered_religious","housing","devotional",0.0091,2957,TRUE,0
"filtered_religious","housing","ambiguous",0.4356,2957,TRUE,0
"filtered_religious","inflation_prices","object_institution",0.2107,840,TRUE,0
"filtered_religious","inflation_prices","object_cost_relig_life",0.2857,840,TRUE,0
"filtered_religious","inflation_prices","charity",0.0726,840,TRUE,0
"filtered_religious","inflation_prices","justice",0.0738,840,TRUE,0
"filtered_religious","inflation_prices","devotional",0.0048,840,TRUE,0
"filtered_religious","inflation_prices","ambiguous",0.3524,840,TRUE,0
"filtered_religious","macro_aggregates","object_institution",0.1294,5131,TRUE,0
"filtered_religious","macro_aggregates","object_cost_relig_life",0.0764,5131,TRUE,0
"filtered_religious","macro_aggregates","charity",0.1337,5131,TRUE,0
"filtered_religious","macro_aggregates","justice",0.1775,5131,TRUE,0
"filtered_religious","macro_aggregates","devotional",0.0078,5131,TRUE,0
"filtered_religious","macro_aggregates","ambiguous",0.4752,5131,TRUE,0
"filtered_religious","poverty_social","object_institution",0.0302,19801,TRUE,0
"filtered_religious","poverty_social","object_cost_relig_life",0.0439,19801,TRUE,0
"filtered_religious","poverty_social","charity",0.1519,19801,TRUE,0
"filtered_religious","poverty_social","justice",0.1179,19801,TRUE,0
"filtered_religious","poverty_social","devotional",0.31,19801,TRUE,0
"filtered_religious","poverty_social","ambiguous",0.3461,19801,TRUE,0
"filtered_religious","taxes_fiscal","object_institution",0.0576,12874,TRUE,0
"filtered_religious","taxes_fiscal","object_cost_relig_life",0.0784,12874,TRUE,0
"filtered_religious","taxes_fiscal","charity",0.2447,12874,TRUE,0
"filtered_religious","taxes_fiscal","justice",0.1104,12874,TRUE,0
"filtered_religious","taxes_fiscal","devotional",0.0569,12874,TRUE,0
"filtered_religious","taxes_fiscal","ambiguous",0.4522,12874,TRUE,0
"filtered_religious","unemployment","object_institution",0.1024,3087,TRUE,0
"filtered_religious","unemployment","object_cost_relig_life",0.0551,3087,TRUE,0
"filtered_religious","unemployment","charity",0.1902,3087,TRUE,0
"filtered_religious","unemployment","justice",0.1169,3087,TRUE,0
"filtered_religious","unemployment","devotional",0.0722,3087,TRUE,0
"filtered_religious","unemployment","ambiguous",0.4632,3087,TRUE,0
"filtered_religious","wages_income","object_institution",0.1058,6550,TRUE,0
"filtered_religious","wages_income","object_cost_relig_life",0.1015,6550,TRUE,0
"filtered_religious","wages_income","charity",0.1901,6550,TRUE,0
"filtered_religious","wages_income","justice",0.0736,6550,TRUE,0
"filtered_religious","wages_income","devotional",0.1063,6550,TRUE,0
"filtered_religious","wages_income","ambiguous",0.4227,6550,TRUE,0
