scenario,voice,era,halfyear,platform_group,posts,interactions,interactions_observed,reach,interactions_per_post
broad,creators,pre,2023H1,video,1250,192545,1,3588037,154.036
broad,lay_media,pre,2023H1,facebook,599,89483,1,5939279,149.387312186978
broad,lay_media,pre,2023H1,video,448,30816,1,1067555,68.7857142857143
broad,lay_media,pre,2023H1,web,1145,125942,1,1649750,109.993013100437
broad,official,pre,2023H1,facebook,200,27117,1,1174070,135.585
broad,official,pre,2023H1,video,74,918,1,45674,12.4054054054054
broad,portal,pre,2023H1,facebook,23,1351,1,136032,58.7391304347826
broad,secular,pre,2023H1,video,34,1238,1,142853,36.4117647058824
broad,official,pre,2023H2,web,7107,389046,1,5169597,54.7412410299705
broad,portal,pre,2023H2,web,1058,110672,1,2673510,104.604914933837
broad,creators,pre,2023H2,video,225,70345,1,564101,312.644444444444
broad,secular,pre,2023H2,web,1924,579366,1,18657444,301.12577962578
broad,lay_media,pre,2023H2,web,1290,177463,1,2275420,137.568217054264
broad,lay_media,pre,2023H2,facebook,604,215907,1,10425555,357.461920529801
broad,official,pre,2023H2,video,51,461,1,30494,9.03921568627451
broad,lay_media,pre,2023H2,video,654,34445,1,657517,52.6681957186544
broad,official,pre,2023H2,facebook,186,19549,1,900502,105.102150537634
broad,secular,pre,2023H2,video,8,237,1,11311,29.625
broad,creators,pre,2023H2,facebook,79,5328,1,385123,67.4430379746836
broad,secular,pre,2023H1,other,9,5,0.111111111111111,13893,0.555555555555556
broad,secular,pre,2023H1,facebook,10,927,1,459778,92.7
broad,official,pre,2023H1,other,2,686,1,19744,343
broad,portal,pre,2023H2,facebook,1,19,1,3863,19
broad,secular,pre,2023H2,facebook,6,1003,1,320521,167.166666666667
broad,creators,post,2024H2,facebook,281,24175,1,1943059,86.0320284697509
broad,lay_media,post,2024H2,facebook,2351,250729,1,21088140,106.64780944279
broad,official,post,2024H2,web,7054,187751,1,2765770,26.6162461015027
broad,creators,post,2024H2,video,367,108796,1,1126217,296.446866485014
broad,lay_media,post,2024H2,video,994,124344,1,3999928,125.094567404427
broad,secular,post,2024H2,web,3369,543993,1,20798892,161.470169189671
broad,lay_media,post,2024H2,web,3486,728780,1,10275030,209.059093516925
broad,portal,post,2024H2,web,1032,168771,1,4576119,163.537790697674
broad,official,post,2024H2,facebook,338,32922,1,1589563,97.4023668639053
broad,lay_media,post,2025H1,facebook,4060,582424,1,41993546,143.454187192118
broad,creators,post,2025H1,facebook,436,151018,1,7164075,346.371559633028
broad,secular,post,2025H1,web,5926,836563,1,34874760,141.168241646979
broad,official,post,2025H1,web,5625,170446,1,2713465,30.3015111111111
broad,portal,post,2025H1,facebook,798,38280,1,7475629,47.9699248120301
broad,lay_media,post,2025H1,video,1419,205489,1,7224054,144.812544045102
broad,creators,post,2025H1,video,641,138650,1,1401647,216.302652106084
broad,portal,post,2025H1,web,1341,80185,1,1785054,59.7949291573453
broad,official,post,2025H1,facebook,510,77617,1,3317589,152.190196078431
broad,lay_media,post,2025H1,web,2932,536381,1,7619754,182.94031377899
broad,official,post,2025H1,video,251,18418,1,792961,73.3784860557769
broad,secular,post,2025H1,facebook,2133,387699,1,93625742,181.762306610408
broad,secular,post,2025H1,video,243,29143,1,1931007,119.930041152263
